iter	Passed	Remaining
0	171	513923
1	186	279128
2	202	202539
3	216	162481
4	227	136551
5	241	120634
6	254	108845
7	273	102114
8	286	95376
9	300	89760
10	314	85562
11	329	82169
12	391	89853
13	405	86517
14	427	85066
15	442	82466
16	457	80317
17	472	78346
18	490	77017
19	504	75110
20	517	73472
21	531	71887
22	547	70884
23	561	69606
24	574	68391
25	587	67148
26	624	68774
27	648	68824
28	669	68640
29	682	67608
30	697	66767
31	709	65771
32	731	65796
33	745	65056
34	760	64436
35	773	63670
36	785	62917
37	798	62231
38	810	61542
39	831	61509
40	846	61103
41	885	62374
42	933	64222
43	948	63724
44	1008	66212
45	1021	65626
46	1034	65012
47	1053	64769
48	1133	68261
49	1156	68247
50	1171	67737
51	1189	67414
52	1223	68012
53	1237	67530
54	1252	67090
55	1267	66614
56	1280	66105
57	1296	65771
58	1310	65336
59	1338	65603
60	1414	68135
61	1428	67708
62	1443	67295
63	1456	66824
64	1498	67646
65	1511	67206
66	1526	66808
67	1558	67203
68	1571	66767
69	1585	66343
70	1628	67183
71	1644	66879
72	1658	66509
73	1671	66101
74	1688	65837
75	1701	65473
76	1734	65835
77	1752	65646
