iter	MultiClass
0	2.239487758
1	2.117417923
2	2.017873588
3	1.930947388
4	1.857083969
5	1.792947637
6	1.736250131
7	1.685112177
8	1.635305991
9	1.59032688
10	1.551683161
11	1.513683364
12	1.477285787
13	1.444615692
14	1.413091
15	1.386498177
16	1.359584678
17	1.334514184
18	1.304071907
19	1.275734271
20	1.243423544
21	1.207656111
22	1.178651595
23	1.148546966
24	1.12132331
25	1.093892789
26	1.071223096
27	1.047262182
28	1.026754604
29	1.0044519
30	0.9869429804
31	0.9681518657
32	0.9519754021
33	0.9265281492
34	0.9095454513
35	0.8919645505
36	0.8760261232
37	0.8598877008
38	0.8447580754
39	0.8296073013
40	0.8129901784
41	0.7960747351
42	0.7841887939
43	0.7677781556
44	0.7560340996
45	0.7439497794
46	0.7325373191
47	0.722626836
48	0.7134740488
49	0.7042302909
50	0.6955693112
51	0.6867390178
52	0.6780649019
53	0.6680682924
54	0.6565880988
55	0.6469010503
56	0.6370650604
57	0.6288394987
58	0.6203230402
59	0.6115005181
60	0.6053475395
61	0.5967160516
62	0.5885121887
63	0.5796063817
64	0.569536678
65	0.5620886429
66	0.5530222983
67	0.5481774435
68	0.5429689028
69	0.5364766355
70	0.5304115123
71	0.5214886933
72	0.5178275065
73	0.5130012666
74	0.5082798861
75	0.5034624621
76	0.4960768254
77	0.4900133176
