SpecialSymbolsCount;WordsCount;SymbolCount;lowercase;uppercase;LastSymbolPd;FirstKeyWord;PrevElementMark;CurElementMark;NextElementMark;FullBold;FullItalic;KeepLinesTogether;KeepWithNext;NoSpaceBetweenParagraphsOfSameStyle;OutlineLevel;PageBreakBefore
0;1;8;ЛОЖЬ;ЛОЖЬ;;;c0;b1;c0;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;Level1;ЛОЖЬ
9;48;386;ЛОЖЬ;ЛОЖЬ;.;;b1;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
12;67;535;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
11;54;405;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;5;37;ЛОЖЬ;ЛОЖЬ;:;;c0;c0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;30;275;ЛОЖЬ;ЛОЖЬ;.;;d0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;20;158;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
8;33;286;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;Level2;ЛОЖЬ
1;8;69;ЛОЖЬ;ЛОЖЬ;:;;c0;c0;d0;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;Level2;ЛОЖЬ
2;4;30;ИСТИНА;ЛОЖЬ;-;listLevel1;c0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;4;30;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;8;60;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;9;66;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;3;24;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;3;22;ИСТИНА;ЛОЖЬ;.;listLevel1;d0;d0;b1;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;11;82;ЛОЖЬ;ИСТИНА;;TitleLevel1;d0;b1;b23;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;Level1;ЛОЖЬ
4;5;55;ЛОЖЬ;ЛОЖЬ;;TitleLevel23;b1;b23;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;BodyText;ЛОЖЬ
9;34;279;ЛОЖЬ;ЛОЖЬ;.;;b23;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
9;18;126;ЛОЖЬ;ЛОЖЬ;;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;10;82;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
8;34;251;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;18;120;ЛОЖЬ;ЛОЖЬ;:;;c0;c0;g1;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;17;106;ЛОЖЬ;ЛОЖЬ;;Рисунок;g1;h1;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
13;60;493;ЛОЖЬ;ЛОЖЬ;.;;h1;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;Level2;ЛОЖЬ
2;14;129;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;17;118;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;16;121;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
14;50;358;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;10;77;ЛОЖЬ;ЛОЖЬ;:;;c0;c0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;6;31;ИСТИНА;ЛОЖЬ;-;listLevel1;c0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;9;77;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
5;8;64;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;12;90;ИСТИНА;ЛОЖЬ;.;listLevel1;d0;d0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;16;126;ЛОЖЬ;ЛОЖЬ;.;;d0;c0;b23;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;3;19;ЛОЖЬ;ЛОЖЬ;;TitleLevel23;c0;b23;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
5;20;170;ЛОЖЬ;ЛОЖЬ;.;;b23;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;16;134;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;1;8;ЛОЖЬ;ЛОЖЬ;:;;c0;c0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;4;28;ЛОЖЬ;ЛОЖЬ;;listLevel1;c0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;2;11;ЛОЖЬ;ЛОЖЬ;;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;3;16;ЛОЖЬ;ЛОЖЬ;;listLevel1;d0;d0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;37;255;ЛОЖЬ;ЛОЖЬ;.;;d0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;6;50;ЛОЖЬ;ЛОЖЬ;:;;c0;c0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;5;27;ИСТИНА;ЛОЖЬ;-;listLevel1;c0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;4;34;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;5;33;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;3;17;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;3;18;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;3;24;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;5;30;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;5;27;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;3;19;ИСТИНА;ЛОЖЬ;.;listLevel1;d0;d0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
7;31;232;ЛОЖЬ;ЛОЖЬ;.;;d0;c0;b23;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
0;4;17;ЛОЖЬ;ЛОЖЬ;;;c0;b23;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
12;63;504;ЛОЖЬ;ЛОЖЬ;.;;b23;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;16;132;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;b1;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
0;13;97;ЛОЖЬ;ЛОЖЬ;;TitleLevel1;c0;b1;b1;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;Level2;ЛОЖЬ
2;2;10;ЛОЖЬ;ЛОЖЬ;;;b1;b1;b23;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;Level2;ЛОЖЬ
1;4;31;ЛОЖЬ;ЛОЖЬ;;TitleLevel23;b1;b23;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;Level3;ЛОЖЬ
5;17;133;ЛОЖЬ;ЛОЖЬ;.;;b23;c0;b23;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;5;29;ЛОЖЬ;ЛОЖЬ;.;;c0;b23;c0;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
5;28;190;ЛОЖЬ;ЛОЖЬ;.;;b23;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;1;11;ЛОЖЬ;ЛОЖЬ;:;;c0;c0;c0;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;15;117;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;b23;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;8;75;ЛОЖЬ;ЛОЖЬ;.;;c0;b23;c0;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;13;101;ЛОЖЬ;ЛОЖЬ;.;;b23;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;2;25;ЛОЖЬ;ЛОЖЬ;:;;c0;c0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;4;27;ИСТИНА;ЛОЖЬ;-;listLevel1;c0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;3;19;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;3;14;ИСТИНА;ЛОЖЬ;.;listLevel1;d0;d0;b23;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;7;62;ЛОЖЬ;ЛОЖЬ;.;;d0;b23;c0;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;13;79;ЛОЖЬ;ЛОЖЬ;:;;b23;c0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
5;10;75;ЛОЖЬ;ЛОЖЬ;-;listLevel1;c0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;10;65;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;7;53;ИСТИНА;ЛОЖЬ;;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;3;35;ИСТИНА;ЛОЖЬ;-;;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;4;31;ИСТИНА;ЛОЖЬ;.;listLevel1;d0;d0;b23;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;5;28;ЛОЖЬ;ЛОЖЬ;.;;d0;b23;c0;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;16;101;ЛОЖЬ;ЛОЖЬ;.;;b23;c0;b23;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;2;22;ЛОЖЬ;ЛОЖЬ;.;;c0;b23;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
6;23;153;ЛОЖЬ;ЛОЖЬ;:;;b23;c0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;10;68;ИСТИНА;ЛОЖЬ;-;listLevel1;c0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;9;54;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;5;29;ИСТИНА;ЛОЖЬ;.;listLevel1;d0;d0;b23;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;2;22;ЛОЖЬ;ЛОЖЬ;.;;d0;b23;c0;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
6;30;212;ЛОЖЬ;ЛОЖЬ;.;;b23;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;10;77;ЛОЖЬ;ЛОЖЬ;:;;c0;c0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
7;40;238;ЛОЖЬ;ЛОЖЬ;.;;d0;c0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;13;89;ЛОЖЬ;ЛОЖЬ;.;;d0;c0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
5;34;223;ЛОЖЬ;ЛОЖЬ;.;;d0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;26;163;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;b23;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;4;29;ЛОЖЬ;ЛОЖЬ;;TitleLevel23;c0;b23;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;5;50;ЛОЖЬ;ЛОЖЬ;:;;b23;c0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;8;56;ЛОЖЬ;ЛОЖЬ;.;;d0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;6;50;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;g1;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;6;37;ЛОЖЬ;ЛОЖЬ;;Рисунок;g1;h1;b23;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;7;45;ЛОЖЬ;ЛОЖЬ;;TitleLevel23;h1;b23;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
5;12;73;ЛОЖЬ;ЛОЖЬ;:;listLevel1;b23;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;10;65;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;12;61;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
12;29;174;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
6;21;131;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;7;40;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;11;70;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
6;14;88;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
5;15;99;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
5;11;65;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;6;34;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;10;55;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;9;53;ЛОЖЬ;ЛОЖЬ;:;;d0;c0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
5;24;174;ЛОЖЬ;ЛОЖЬ;:;listLevel1;c0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;7;38;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;5;29;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;9;59;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;12;86;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;10;62;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;23;156;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;7;35;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
5;29;188;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
6;35;232;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
5;22;136;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;15;100;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;11;68;ЛОЖЬ;ЛОЖЬ;;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;26;150;ИСТИНА;ЛОЖЬ;:;;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;10;71;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;6;34;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;11;75;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;9;62;ЛОЖЬ;ЛОЖЬ;.;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;6;40;ЛОЖЬ;ЛОЖЬ;:;listLevel1;d0;d0;b23;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;7;43;ЛОЖЬ;ЛОЖЬ;;TitleLevel23;d0;b23;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;4;29;ЛОЖЬ;ЛОЖЬ;:;;b23;c0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;8;59;ЛОЖЬ;ЛОЖЬ;.;;d0;c0;g1;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
